"Restaurant.Name","City","Average.Cost.for.two","Has.Table.booking","Has.Online.delivery","Is.delivering.now","Votes","Aggregate.rating","Rating.text","Cuisine.code"
"Jahanpanah","Agra",850,0,0,0,140,3.9,"Good",52
"Rangrezz Restaurant","Agra",700,0,0,0,71,3.5,"Good",52
"Time2Eat - Mama Chicken","Agra",500,0,0,0,94,3.6,"Good",52
"Chokho Jeeman Marwari Jain Bhojanalya","Agra",400,0,0,0,87,4,"Very Good",58
"Pinch Of Spice","Agra",1000,0,0,0,177,4.2,"Very Good",52
"MoMo Cafe","Agra",2000,0,0,0,45,4,"Very Good",52
"Peshawri - ITC Mughal","Agra",2500,0,0,0,133,4.3,"Very Good",52
"Taj Bano - ITC Mughal","Agra",2500,0,0,0,41,4,"Very Good",48
"G Thal","Agra",800,0,0,0,59,3.6,"Good",58
"Dawat-e-Nawab - Radisson Blu","Agra",3600,0,0,0,46,3.8,"Good",52
"The Latitude - Radisson Blu","Agra",716.90036900369,0,0,0,103,3.9,"Good",52
"Dasaprakash Restaurant","Agra",550,0,0,0,121,4.1,"Very Good",63
"The Charcoal Chimney","Agra",1100,0,0,0,70,3.4,"Average",52
"Sheroes Hangout","Agra",716.90036900369,0,0,0,77,4.9,"Excellent",15
"Bon Barbecue","Agra",1500,0,0,0,57,3.8,"Good",52
"Chapter 1 Cafe","Agra",716.90036900369,0,0,0,98,3.9,"Good",15
"Pind Balluchi","Agra",900,0,0,0,175,3.7,"Good",52
"Pizza Hut","Agra",700,0,0,0,134,4.4,"Very Good",32
"Tea'se Me - Rooftop Tea Boutique","Agra",1000,0,0,0,166,4.2,"Very Good",17
"Thaaliwala","Agra",700,0,0,0,168,4.1,"Very Good",52
"650 - The Global Kitchen","Ahmedabad",900,0,0,0,1582,4.2,"Very Good",17
"Patang - The Revolving Restaurant","Ahmedabad",1800,0,0,0,1315,3.7,"Good",18
"Huber & Holly","Ahmedabad",300,0,1,0,217,4.5,"Excellent",30
"@Mango","Ahmedabad",800,0,0,0,769,4.1,"Very Good",52
"Fozzie's Pizzaiolo","Ahmedabad",900,0,1,0,731,4.3,"Very Good",56
"La Pino'z Pizza","Ahmedabad",500,0,1,0,113,4.4,"Very Good",56
"Mocha","Ahmedabad",1000,0,1,0,944,4.4,"Very Good",15
"Blue -  Rooftop Cafe Restaurant Bistro","Ahmedabad",1000,0,1,0,63,3.8,"Good",52
"MoMo Cafí© - Courtyard By Marriott","Ahmedabad",1400,0,0,0,375,3.6,"Good",52
"Cryo Lab","Ahmedabad",350,0,0,0,166,4.6,"Excellent",19
"Swati Snacks","Ahmedabad",450,0,0,0,697,4.4,"Very Good",22
"Brick Kitchen","Ahmedabad",900,0,0,0,325,4.3,"Very Good",52
"Kabir Restaurant","Ahmedabad",600,0,1,0,432,3.8,"Good",52
"Puffizza","Ahmedabad",700,0,1,0,744,4.3,"Very Good",32
"Cafe Alfresco","Ahmedabad",700,0,1,0,404,4,"Very Good",15
"The Cafe Baraco","Ahmedabad",600,0,1,0,317,4.4,"Very Good",15
